"text","date","show"
"As some of you might know, I have long avoided having any socialmedia presence. I am completely ignorant of all things Facebook,Instagram, Snapchat, and whatever other cyberforum the teenagecognoscenti have recently anointed. I know the pound sign is acrucial element to communicating via Twitter, but have neverpersonally tried it. More importantly, I don't feel like I'mmissing anything. My life doesn't feel lesser for it. When Ibegan these vanity cards almost twenty years ago, I decided thatthey were a perfectly adequate way of communicating my personalthoughts on a large scale. Sure, they're a one-way communication,but I actually prefer that. My thinking was, and still is, thatthis world of ours already sends too many messages. Or perhapsconsciousness, by its very nature, acquiesces to being barraged.Either way, my self-preservation seemed to demand digitalinaccessibility. Or, to put it more simply, the only hater I cantolerate in my head is already in my head.",2016-03-10,"Mom"
"I am us.You is we.We are me.They be them.Our née all.Goo goo gjoob.",2016-03-03,"Mom"
"There was a man named Benedict Lincoln,who had untamed negative thinkin'.The world came and went,but he was absent,distracted by thoughts that were stinkin'.",2016-02-25,"Mom"
"God, if the experiment was to find outwhat happens when life is aware of itselfand sees itself as being separate andalone, the results are in. You can stopnow.",2016-02-18,"Mom"
"Gone fishin'",2012-05-18,"Mom"
"",2012-11-15,"Mom"
"The Amazing AdventuresofEnnui and Weltschmerz!Chapter OneThe morning smelled like trouble. At least that's how it seemed toEnnui Dellacqua. From the moment she opened her eyes she knewsomething was amiss. It was like she had a sixth sense that wasolfactory adjacent. Ennui rolled over in bed so she was nose tonose with her sleeping husband, Weltschmerz. She thought aboutwaking him, alerting him to whatever unknown danger was out there.But he was so weary lately. As if the world was just too much forhim. So she did nothing. Not out of love. The whole thing justsuddenly felt boring and pointless.",2016-01-20,"Mom"
"President Roosevelt famously said, ""...the only thing we have tofear, is fear itself."" Now, let's take a moment and ask ourselves,which presidential candidates and cable news networks are activelypromoting fear? Which one of these people and corporate entitiesare determined to scare your pants off, in the hope that you'lleither vote for them or stay tuned? Or let's approach this from adifferent angle. After millions of years of evolution, or six daysof divine creation, it doesn't really matter which, our brains arewired to seek out danger and respond accordingly. Fight or flightor, if it's not trying to eat you, negotiate. It makes sense then,that presenting a threat to our survival is a time-tested way toget the brain's attention. And let's be clear about one thing;attention is the most valuable commodity in the world. Once youhave someone's attention you can sell them something, or, if you'rethe kind of person who is frightened of self-determined people,control them - while reassuring them that your only concern istheir right to be self-determined. (This is not to say that therearen't people who have ample reason to be afraid. I'm just gonnago out on a limb and say you're probably not one of them.) So thereal question to ask yourself is not who or what should you beafraid of, it's how are you doing right now. Go ahead. Askyourself. Are you in jeopardy right now? Of course not. You'resquinting at this vanity card and perhaps wondering if there's aclever joke at the end of it. (Spoiler alert: there is not.) Thismeans that whatever you're afraid of, or being encouraged to beafraid of, is in your mind. It is not in your living room, or justoutside your door. You're thinking it. Which is good news.That's the one thing you have control over. At any moment, you cantake a break from thinking scary thoughts, or, if you're like meand have a mind run amuck, you can choose to ignore them. Evenbetter news, once you're free of self-imposed fear, you're muchless likely to seek out an old, white guy to protect you. (Well,maybe there is.)",2016-01-14,"Mom"
"In honor of the New Year I didn't write a vanity card.",2016-01-07,"Mom"
"This past year I was inspired by the transgender movement which, to me, appears tobe an effort to synchronize one's outward sexual identity with one's internal sexualexperience. I couldn't help but notice that, in many cases, the people who do thisappear to be extremely happy. Which got me thinking. I want to be extremelyhappy. Maybe it's time for me to make a change. But then I realized my discomfortis not with having a male human body. It's with having any human body. With thatin mind, my next step was obvious. I started looking for a reputable surgeon whowould help me become the first member of the trans-species movement. My hopewas to become a porpoise, or a hawk. (I'm a big fan of hawks, with all the gliding andswooping.) After a long, exhausting search, I found a highly-regarded doctor inPyongyang who was more than willing to do the operation if I could sneak him intoSeoul. Which I did. But then, minutes before the procedure was to begin, I was toldthat once again my Writers Guild insurance wouldn't pay. Filled with frustration, Idecided to lose my troublesome body altogether and become trans-human. With afew odds and ends purchased from Fry's, I created a device which uploaded myentire personality, including thoughts, memories and emotions, onto the internet.As the kids like to say, I achieved singularity. If you can spare a moment, pleasecome visit me at:chucklorre.com/holidaycard",2015-12-17,"Mom"
